Company Name,Industry,Symbol,Series,ISIN Code
PT Nusantara Sawit Sejahtera Tbk,Materials,NSSS.JK,EQ,ID1000187503
Semen Indonesia,Materials,SMGR.JK,EQ,ID1000106800
PT Abadi Nusantara Hijau Investama Tbk,Materials,PACK.JK,EQ,ID1000185002
PT Samator Indo Gas Tbk,Materials,AGII.JK,EQ,ID1000137805
PT Sawit Sumbermas Sarana Tbk,Materials,SSMS.JK,EQ,ID1000130008
PT PAM Mineral Tbk,Materials,NICL.JK,EQ,ID1000161409
PT Teladan Prima Agro Tbk,Materials,TLDN.JK,EQ,ID1000167109
PT Sumber Global Energy Tbk,Materials,SGER.JK,EQ,ID1000156706
PT Provident Investasi Bersama Tbk,Materials,PALM.JK,EQ,ID1000125008
PT Austindo Nusantara Jaya Tbk,Materials,ANJT.JK,EQ,ID1000270002
PT Prime Agri Resources Tbk,Materials,SGRO.JK,EQ,ID1000106107
PT Krakatau Steel (Persero) Tbk Class B,Materials,KRAS.JK,EQ,ID1000117005
PT Central Omega Resources Tbk,Materials,DKFT.JK,EQ,ID1000124100
PT Panca Budi Idaman Tbk,Materials,PBID.JK,EQ,ID1000141401
PT Gunung Raja Paksi Tbk,Materials,GGRP.JK,EQ,ID1000151202
PT Tunas Baru Lampung Tbk,Materials,TBLA.JK,EQ,ID1000076706
PT Mark Dynamics Indonesia Tbk,Materials,MARK.JK,EQ,ID1000140106
PT Central Proteina Prima Tbk,Materials,CPRO.JK,EQ,ID1000105000
PT Tifico Fiber Indonesia  Tbk,Materials,TFCO.JK,EQ,ID1000054802
PT Steel Pipe Industry of Indonesia Tbk,Materials,ISSP.JK,EQ,ID1000126709
PT Saraswanti Anugerah Makmur Tbk,Materials,SAMF.JK,EQ,ID1000155104
PT Argo Pantes Tbk,Materials,ARGO.JK,EQ,ID1000083702
PT Pinago Utama Tbk,Materials,PNGO.JK,EQ,ID1000156904
PT Agro Bahari Nusantara Tbk,Materials,UDNG.JK,EQ,ID1000199003
PT Mahkota Group Tbk,Materials,MGRO.JK,EQ,ID1000144603
PT Multi Spunindo Jaya Tbk,Materials,MSJA.JK,EQ,ID1000201304
PT Eagle High Plantations Tbk.,Materials,BWPT.JK,EQ,ID1000113202
PT Esta Indonesia Tbk,Materials,NEST.JK,EQ,ID1000206006
PT Ifishdeco Tbk,Materials,IFSH.JK,EQ,ID1000152606
PT Indo Kordsa Tbk,Materials,BRAM.JK,EQ,ID1000084700
PT Indonesia Fibreboard Industry Tbk,Materials,IFII.JK,EQ,ID1000152804
PT BISI International Tbk,Materials,BISI.JK,EQ,ID1000105703
PT Jaya Agra Wattie Tbk,Materials,JAWA.JK,EQ,ID1000119001
PT Alkindo Naratama Tbk,Materials,ALDO.JK,EQ,ID1000120207
PT Delta Giri Wacana Tbk,Materials,DGWG.JK,EQ,ID1000208200
PT Lotte Chemical Titan Tbk,Materials,FPNI.JK,EQ,ID1000083801
PT Adhi Kartiko Pratama Tbk,Materials,NICE.JK,EQ,ID1000200900
PT Cisadane Sawit Raya Tbk,Materials,CSRA.JK,EQ,ID1000153307
PT Mulia Industrindo Tbk,Materials,MLIA.JK,EQ,ID1000060106
PT Malindo Feedmill Tbk,Materials,MAIN.JK,EQ,ID1000119407
PT Semen Baturaja (Persero) Tbk Class B,Materials,SMBR.JK,EQ,ID1000127806
PT Asahimas Flat Glass Tbk,Materials,AMFG.JK,EQ,ID1000084601
PT Trias Sentosa  Tbk,Materials,TRST.JK,EQ,ID1000059009
PT Cerestar Indonesia Tbk,Materials,TRGU.JK,EQ,ID1000168800
PT Sreeya Sewu Indonesia Tbk Class A,Materials,SIPD.JK,EQ,ID1000133606
PT Janu Putra Sejahtera Tbk,Materials,AYAM.JK,EQ,ID1000199904
PT Superior Prima Sukses Tbk,Materials,BLES.JK,EQ,ID1000205206
PT Indo-Rama Synthetics Tbk,Materials,INDR.JK,EQ,ID1000086101
PT Tunas Alfin Tbk,Materials,TALF.JK,EQ,ID1000130107
PT Budi Starch & Sweetener Tbk,Materials,BUDI.JK,EQ,ID1000084908
PT Sinar Terang Mandiri TBK,Materials,MINE.JK,EQ,ID1000209505
PT Gozco Plantations Tbk,Materials,GZCO.JK,EQ,ID1000110604
PT Suparma Tbk,Materials,SPMA.JK,EQ,ID1000054307
PT Waskita Beton Precast Tbk,Materials,WSBP.JK,EQ,ID1000137706
PT Polychem Indonesia Tbk,Materials,ADMG.JK,EQ,ID1000090202
PT Primadaya Plastisindo Tbk,Materials,PDPP.JK,EQ,ID1000176902
PT Kedawung Setia Industrial Tbk,Materials,KDSI.JK,EQ,ID1000054703
PT Indopoly Swakarsa Industry Tbk,Materials,IPOL.JK,EQ,ID1000115900
PT Wilton Makmur Indonesia Tbk,Materials,SQMI.JK,EQ,ID1000098601
PT Widodo Makmur Perkasa Tbk,Materials,WMPP.JK,EQ,ID1000164809
PT Widodo Makmur Unggas Tbk,Materials,WMUU.JK,EQ,ID1000159106
PT Gunawan Dianjaya Steel Tbk,Materials,GDST.JK,EQ,ID1000113806
PT Madusari Murni Indah Tbk,Materials,MOLI.JK,EQ,ID1000145204
PT Pan Brothers Tbk,Materials,PBRX.JK,EQ,ID1000119506
PT Aman Agrindo Tbk,Materials,GULA.JK,EQ,ID1000170400
PT Berlina Tbk,Materials,BRNA.JK,EQ,ID1000125602
PT Bumi Teknokultura Unggul Tbk,Materials,BTEK.JK,EQ,ID1000098106
PT Ekadharma International Tbk,Materials,EKAD.JK,EQ,ID1000104805
PT Tirta Mahakam Resources Tbk,Materials,TIRT.JK,EQ,ID1000053408
PT Buyung Poetra Sembada Tbk,Materials,HOKI.JK,EQ,ID1000139801
PT Colorpak Indonesia Tbk,Materials,CLPI.JK,EQ,ID1000079106
PT SLJ Global Tbk,Materials,SULI.JK,EQ,ID1000088909
PT Pelat Timah Nusantara Tbk,Materials,NIKL.JK,EQ,ID1000113608
PT Sunson Textile Manufacturer Tbk,Materials,SSTM.JK,EQ,ID1000081508
PT Emdeki Utama Tbk,Materials,MDKI.JK,EQ,ID1000140304
PT Yanaprima Hastapersada Tbk,Materials,YPAS.JK,EQ,ID1000109804
PT Solusi Environment Asia Tbk,Materials,SOFA.JK,EQ,ID1000156300
PT Satyamitra Kemas Lestari Tbk,Materials,SMKL.JK,EQ,ID1000150204
PT Champion Pacific Indonesia Tbk,Materials,IGAR.JK,EQ,ID1000059306
PT Asia Pacific Investama Tbk Class A,Materials,MYTX.JK,EQ,ID1000074701
PT Asiaplast Industries Tbk,Materials,APLI.JK,EQ,ID1000059405
PT Argha Karya Prima Industry Tbk,Materials,AKPI.JK,EQ,ID1000084205
PT Alakasa Industrindo  Tbk Class A,Materials,ALKA.JK,EQ,ID1000076904
PT Cilacap Samudera Fishing Industry Tbk,Materials,ASHA.JK,EQ,ID1000167901
PT Hillcon Tbk,Materials,HILL.JK,EQ,ID1000186901
PT Betonjaya Manunggal Tbk,Materials,BTON.JK,EQ,ID1000071509
PT Pulau Subur Tbk,Materials,PTPS.JK,EQ,ID1000198807
PT Ever Shine Textile Tbk,Materials,ESTI.JK,EQ,ID1000063506
PT Saranacentral Bajatama Tbk,Materials,BAJA.JK,EQ,ID1000121700
PT Ancora Indonesia Resources Tbk,Materials,OKAS.JK,EQ,ID1000103302
PT Samcro Hyosung Adilestari Tbk Class A,Materials,ACRO.JK,EQ,ID1000201007
PT Inocycle Technology Group Tbk,Materials,INOV.JK,EQ,ID1000150105
PT Nusa Palapa Gemilang Tbk,Materials,NPGF.JK,EQ,ID1000160104
PT Eratex Djaja Tbk,Materials,ERTX.JK,EQ,ID1000076607
PT Citatah Tbk,Materials,CTTH.JK,EQ,ID1000070105
PT Andira Agro Tbk,Materials,ANDI.JK,EQ,ID1000145105
PT Prasidha Aneka Niaga Tbk,Materials,PSDN.JK,EQ,ID1000090400
PT Wijaya Cahaya Timber Tbk,Materials,FWCT.JK,EQ,ID1000184203
PT Intanwijaya Internasional Tbk,Materials,INCI.JK,EQ,ID1000064504
PT Arkayana Lestari Grup Tbk,Materials,AYLS.JK,EQ,ID1000154404
PT Surya Biru Murni Acetylene Tbk,Materials,SBMA.JK,EQ,ID1000163207
PT Green Power Group Tbk,Materials,LABA.JK,EQ,ID1000160708
PT Indal Aluminium Industry Tbk,Materials,INAI.JK,EQ,ID1000130800
PT Falmaco Nonwoven Industri Tbk,Materials,FLMC.JK,EQ,ID1000161300
PT Pelangi Indah Canindo Tbk,Materials,PICO.JK,EQ,ID1000088404
PT Benteng Api Technic Tbk,Materials,BATR.JK,EQ,ID1000204308
PT OBM Drilchem Tbk,Materials,OBMD.JK,EQ,ID1000165202
PT Indo Oil Perkasa Tbk,Materials,OILS.JK,EQ,ID1000162803
PT Lupromax Pelumas Indonesia Tbk,Materials,LMAX.JK,EQ,ID1000194509
PT Multi Makmur Lemindo Tbk,Materials,PIPA.JK,EQ,ID1000187909
PT Agung Menjangan Mas Tbk,Materials,AMMS.JK,EQ,ID1000170301
PT Chemstar Indonesia Tbk,Materials,CHEM.JK,EQ,ID1000168701
